name,address_1,address_2,address_3,postcode,latitude,longitude,monday,tuesday,wednesday,thursday,friday,saturday,sunday,computers,wifi,printers,photocopiers,scanners,meetingrooms,localandfamilyhistory,navalhistory,microfilmscanners,roofterrace,books,dvds,audiobooks,requestservice,cafe,website
Central Library,167 - 171 Armada Way,,Plymouth,PL1 1HZ,50.37316282100596,-4.142905038755941,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,closed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/centrallibrary
Crownhill Library,Cross Park Road,Crownhill,Plymouth,PL6 5AN,50.40676916195028,-4.132958387737432,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,closed,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/crownhilllibrary
Devonport Library,Chapel Street,Devonport,Plymouth,PL1 4DP,50.37184613064278,-4.174540293954692,08:30-18:00,08:30-18:00,08:30-18:00,14:00-20:00,08:30-18:00,09:00-17:00,closed,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/devonportlibrary
Efford Library,19 Torridge Way,Efford,Plymouth,PL3 6JQ,50.38837443214172,-4.110164015508815,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-13:00,closed,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/effordlibrary
Estover Library,"Tor Bridge High School, Miller Way",Estover,Plymouth,PL6 8UN,50.41148675246427,-4.1005512661316175,09:30-17:00,09:30-17:00,closed,09:30-17:00,09:30-17:00,10:00-13:00,closed,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/estoverlibrary
North Prospect Library,"The Beacon, 163 North Prospect Road",North Prospect,Plymouth,PL2 2ND,50.392901037481806,-4.166567189855584,09:00-17:00,14:00-17:00,09:00-17:00,14:00-17:00,09:00-17:00,10:00-13:00,closed,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/northprospectlibrary
Peverell Library,242A Peverell Park Road,Peverell,Plymouth,PL3 4QF,50.393970388845275,-4.145356262097124,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-13:00,closed,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/peverelllibrary
Plympton Library,Harewood,Plympton,Plymouth,PL7 2AS,50.388459453947775,-4.055512331447062,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,closed,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/plymptonlibrary
Plymstock Library,"Horn Cross Road, Plymstock",Plymstock,Plymouth,PL9 9BU,50.3600407,-4.0889189,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,closed,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/plymstocklibrary
Southway Library,351 Southway Drive,Southway,Plymouth,PL6 6QR,50.429606996105605,-4.125487116424409,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,closed,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/southwaylibrary
St Budeaux Library,"The Square, Victoria Road",St Budeaux,Plymouth,PL5 1RQ,50.40304344837321,-4.186950828258205,08:30-18:00,08:30-18:00,08:30-18:00,08:30-20:00,08:30-18:00,09:00-17:00,closed,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/stbudeauxlibrary
West Park Library,"423 - 425 Crownhill Road, West Park",West Park,Plymouth,PL5 2LJ,50.4125776,-4.1667342,09:00-17:00,14:00-17:00,09:00-17:00,14:00-17:00,09:00-17:00,10:00-13:00,closed,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,https://www.plymouth.gov.uk/libraries/findlibraryandopeninghours/westparklibrary